-ί|iota demonstrativum
ἐπαίθω|to kindle, set on fire
ἐπαίνεσις|praise
ἐπαίρω|to lift up and set on
ἐπαίσσω|to rush at or upon
ἐπαίτιος|blamed for
ἐπαίω|to give ear to
ἐπαγάλλομαι|to glory in, exult in
ἐπαγανακτέω|to be indignant at
ἐπαγγέλλω|to tell, proclaim, announce
ἐπαγγελία|a public denunciation
ἐπαγείρω|to gather together, collect
ἐπαγινέω|to bring to
ἐπαγλαίζω|to honour still more
ἐπαγρυπνέω|to keep awake and brood over
ἐπαγωγή|a bringing in, supplying
ἐπαγωγός|attractive, tempting, alluring, seductive
ἐπαγωνίζομαι|to contend with
ἐπαγώγιμος|imported
ἐπαγώνιος|helping in the contest
ἐπαείδω|to sing to or in accompaniment
ἐπαθροίζομαι|to assemble besides
ἐπαιάζω|to cry
ἐπαιγίζω|to rush furiously upon
ἐπαιγιαλῖτις|on the beach
ἐπαιδέομαι|to be ashamed
ἐπαινέτης|a commender, admirer
ἐπαινέω|to approve, applaud, commend
ἐπαινετέος|one must praise
ἐπαινετός|to be praised, laudable
ἐπαινός|dread
ἐπαισθάνομαι|to have a perception or feeling of
ἐπαισχύνομαι|to be ashamed at or of
ἐπαιτέω|to ask besides
ἐπαιτιάομαι|to bring a charge against, accuse
ἐπαιωρέω|to keep hovering over, keep in suspense
ἐπακμάζω|to come to its bloom
ἐπακολουθέω|to follow close upon, follow after
ἐπακολούθημα|a consequence
ἐπακουός|attentive to
ἐπακούω|to listen or hearken to, to hear
ἐπακρίζω|to reach the top of
ἐπακτέος|one must apply
ἐπακτήρ|a hunter
ἐπακτρίς|a light vessel, skiff
ἐπακτροκέλης|a light piratical skiff
ἐπακτός|brought in, imported
ἐπαλάομαι|to wander about or over
ἐπαλέξω|to defend, aid, help
ἐπαλής|open to the sun, sunny
ἐπαλαλάζω|to raise the war-cry
ἐπαλαστέω|to be full of wrath at
ἐπαλγέω|to grieve over
ἐπαλείφω|to smear over, plaster up
ἐπαληθεύω|to prove true, verify
ἐπαλκής|strong
ἐπαλλάξ|= ἐναλλάξ, Xen.
ἐπαλλάσσω|to interchange
ἐπαλλαγή|an interchange
ἐπαμάομαι|to scrape together for oneself
ἐπαμαξεύω|to traverse with cars
ἐπαμβατήρ|one who mounts upon, an assailant
ἐπαμείβω|to exchange, barter
ἐπαμμένω|poet. for ἐπαναμένω. Aesch.
ἐπαμοίβιος|in exchange
ἐπαμοιβαδίς|interchangeably
ἐπαμπέχω|to put on over
ἐπαμφοτερίζω|to admit a double sense
ἐπαμύντωρ|a helper, defender
ἐπαμύνω|to come to aid, defend, assist
ἐπανάγκης|it is necessary
ἐπανάγω|to bring up: to stir up, excite
ἐπανάκειμαι|to be imposed upon
ἐπανάσεισις|a brandishing against
ἐπανάστασις|a rising up against, an insurrection
ἐπανέρομαι|to question again and again
ἐπανέρχομαι|to go back, return
ἐπανέχω|to hold up, support
ἐπανήκω|to have come back, to return
ἐπανίημι|to let loose at
ἐπανίστημι|to set up again
ἐπαναίρω|to lift up
ἐπαναβάλλω|to throw back over
ἐπαναβαίνω|to get up on, mount
ἐπαναβιβάζω|to make to mount upon
ἐπαναβληδόν|thrown over
ἐπαναβοάω|to cry out
ἐπαναγκάζω|to compel by force, constrain
ἐπαναγορεύω|to proclaim publicly
ἐπαναθεάομαι|to contemplate again
ἐπαναιρέομαι|to take upon one, enter into
ἐπανακαλέω|to invoke besides
ἐπανακλαγγάνω|to give tongue again and again
ἐπανακύπτω|to have an upward tendency
ἐπαναλίσκω|to consume still more
ἐπαναλαμβάνω|to take up again, resume, repeat
ἐπαναμένω|to wait longer
ἐπαναμιμνήσκω|to remind
ἐπανανεόομαι|to renew, revive
ἐπαναπαύομαι|to rest upon, depend upon
ἐπαναπηδάω|to leap upon
ἐπαναπλέω|to put to sea against
ἐπαναρρήγνυμι|to tear open again
ἐπαναρρίπτω|to throw up in the air
ἐπανασείω|to lift up and shake.
ἐπανασκοπέω|to consider yet again
ἐπαναστρέφω|to turn back upon
ἐπανατέλλω|to lift up, raise
ἐπανατίθημι|to lay upon
ἐπανατείνω|to stretch out and hold up
ἐπανατρέχω|to recur
ἐπαναφέρω|to throw back upon, ascribe, refer
ἐπαναχωρέω|to go back again, to retreat, return
ἐπαναχώρησις|a return
ἐπανδιπλάζω|to reiterate questions
ἐπανερωτάω|to question again
ἐπανεῖπον|to offer by public proclamation
ἐπανηλογέω|to recount, recapitulate
ἐπανθέω|to bloom, be in flower
ἐπανθίζω|to deck as with flowers, to make bright-coloured
ἐπανθοπλοκέω|to plait of or with
ἐπανθρακίδες|small fish for frying, small fry
ἐπανισόω|to make quite equal, to balance evenly, equalise
ἐπανιτέος|one must return
ἐπανορθόω|to set up again, restore
ἐπαντιάζω|to fall in with
ἐπαντλέω|to pump over or upon, pour over
ἐπανόρθωμα|a correction
ἐπανόρθωσις|a correcting, revisal
ἐπανύω|to complete, accomplish
ἐπαξιόω|to think right, deem right
ἐπαξόνιος|upon an axle
ἐπαπειλέω|to hold out as a threat to
ἐπαποδύομαι|to strip and set upon
ἐπαποθνήσκω|to die after
ἐπαποπνίγω|to choke besides
ἐπαρά|an imprecation
ἐπαράομαι|to imprecate curses upon
ἐπαράσσω|to dash to
ἐπαρήγω|to come to aid, help
ἐπαρίστερος|towards the left, on the left hand
ἐπαραρίσκω|to fit to or upon, fasten to
ἐπαρκέω|to ward off
ἐπαρκούντως|sufficiently
ἐπαρτάω|to hang on or over
ἐπαρτής|ready for work, equipt
ἐπαρτύω|to fit on
ἐπαρχία|the government of a province
ἐπαρχικός|provincial
ἐπαρωγή|help, aid
ἐπαρωγός|a helper, aider
ἐπασκέω|to labour or toil at, finish carefully
ἐπασσυτεροτριβής|following close one upon another
ἐπασσύτερος|one upon another, one after another
ἐπαστράπτω|to lighten upon
ἐπαυγάζομαι|to look at by the light
ἐπαυδάομαι|to call upon, invoke
ἐπαυλέω|to accompany on the flute
ἐπαυλίζομαι|to encamp on the field
ἐπαυξάνω|to increase, enlarge, augment
ἐπαυρέω|to partake of, share
ἐπαυτέω|to creak besides
ἐπαυχένιος|on or for the neck
ἐπαυχέω|to exult in or at
ἐπαφάω|to touch on the surface, stroke
ἐπαφή|touch, touching, handling
ἐπαφίημι|to discharge at
ἐπαφαυαίνομαι|to be withered
ἐπαφρίζω|to foam up or on the surface
ἐπαφρόδιτος|lovely, charming
ἐπαφύσσω|to pour over
ἐπαχθής|heavy, ponderous
ἐπαχνίδιος|lying like dust upon
ἐπαύξησις|increase, increment
ἐπαύρεσις|fruition
ἐπαύω|to shout over
ἐπεί|after that, after (postquam), since, when (quum)
ἐπείγω|to press down, weigh down
ἐπείκεν|epic for ἐπεάν, ἐπήν
ἐπείπερ|seeing that
ἐπείσακτος|brought in besides: brought in from abroad, imported, alien, foreign
ἐπείσειμι|to come in or besides
ἐπείσοδος|a coming in besides, entrance
ἐπεγγελάω|to laugh at, exult over
ἐπεγείρω|to awaken, rouse up
ἐπεγκάπτω|to snap up besides
ἐπεγκελεύω|to give an order to
ἐπεγχέω|to pour in besides
ἐπειή|since in truth
ἐπειδάν|whenever.
ἐπεικάζω|to make like or liken
ἐπεισάγω|to bring in besides, to bring in
ἐπεισέρχομαι|to come in besides
ἐπεισαγωγή|a bringing in besides, a means of bringing or letting in
ἐπεισαγώγιμος|brought in besides
ἐπεισβάλλω|to throw into besides
ἐπεισβάτης|an additional passenger, supernumerary on board
ἐπεισβαίνω|to go into upon
ἐπεισκυκλέω|to roll or bring in one upon another
ἐπεισκωμάζω|to rush in like revellers
ἐπεισπίπτω|to fall in upon
ἐπεισπαίω|to burst in
ἐπεισπηδάω|to leap in upon
ἐπεισπλέω|to sail in after
ἐπεισρέω|to flow in upon or besides
ἐπεισφέρω|to bring in besides or next
ἐπεισφρέω|to introduce besides
ἐπεισόδιος|coming in besides, adventitious
ἐπεκβαίνω|to go out upon, disembark
ἐπεκβοηθέω|to rush out to aid
ἐπεκδιδάσκω|to teach or explain besides
ἐπεκδιηγέομαι|to explain besides
ἐπεκδρομή|an excursion, expedition
ἐπεκπίνω|to drink off after
ἐπεκτείνω|to extend
ἐπεκτρέχω|to sally out upon or against
ἐπεκφέρω|to carry out far
ἐπεκχωρέω|to advance next or after
ἐπελαύνω|to drive upon
ἐπελπίζω|to buoy up with hope, to cheat with false hopes
ἐπεμβάλλω|to put on
ἐπεμβάτης|one mounted
ἐπεμβαίνω|to step or tread upon
ἐπεμβαδόν|step upon step, ascending
ἐπεμπίπτω|to fall upon besides, attack furiously
ἐπεμπηδάω|to trample upon
ἐπεναρίζω|to kill
ἐπενδίδωμι|to give over and above
ἐπενδύνω|to put on
ἐπενθρώσκω|to leap upon
ἐπεντέλλω|to command besides
ἐπεντανύω|to make fast
ἐπεντείνω|to stretch tight upon
ἐπεντύνω|to set right, get ready
ἐπεξάγω|to lead out
ἐπεξέρχομαι|to go out against, make a sally against
ἐπεξέτασις|a fresh review or muster
ἐπεξαγωγή|extension of a line of battle
ἐπεξαμαρτάνω|to err yet more, one must err yet more
ἐπεξελαύνω|to send on to the attack
ἐπεξεργάζομαι|to effect besides
ἐπεξευρίσκω|to invent besides
ἐπεξηγέομαι|to recount in detail
ἐπεξιακχάζω|to shout in triumph over
ἐπεξόδιος|of a march
ἐπεξῆς|ionic for ἐφεξῆς
ἐπερέφω|to put a cover upon, deck
ἐπεργάζομαι|to cultivate besides, encroach upon
ἐπεργασία|cultivation of another's land, encroachment upon
ἐπερείδω|to drive against, drive home
ἐπερεθίζω|to stimulate, urge on
ἐπερωτάω|to inquire of, question, consult
ἐπερύω|to pull to
ἐπερώτημα|a question
ἐπερώτησις|a questioning, consulting
ἐπεσβολία|hasty speech, scurrility
ἐπεσβόλος|throwing words about, rash-talking, abusive, scurrilous
ἐπεσθίω|to eat after or with
ἐπεσχάριος|on the hearth
ἐπετήσιος|from year to year, yearly
ἐπευθύνω|to guide to
ἐπευκλείζω|to make illustrious
ἐπευφημέω|to shout assent
ἐπευωνίζω|to lower the price of
ἐπεύχομαι|to pray or make a vow
ἐπεῖδον|to look upon, behold
ἐπεῖπον|to say besides
ἐπηγκενίδες|the long side-planks bolted to
ἐπηγορεύω|to state objections against
ἐπηετανός|abundant, ample, sufficient
ἐπηλυγάζω|to overshadow
ἐπηλυσίη|a coming over one
ἐπηλύτης|= ἔπηλυς II, Thuc.
ἐπημοιβός|alternating, crossing
ἐπημύω|to bend or bow down
ἐπηπύω|to shout in applause
ἐπηρεάζω|to threaten abusively
ἐπηρεφής|overhanging, beetling
ἐπητής|affable, gentle
ἐπητύς|courtesy, kindness
ἐπηχέω|to resound, re-echo
ἐπι-γνωρίζω|to make known, announce
ἐπιάλλω|to send upon, lay upon
ἐπιάχω|to shout out, to shout applause
ἐπιέννυμι|to put on besides or over
ἐπιήρανος|pleasing, acceptable
ἐπιίδμων|= ἐπιΐστωρ, τινός Anth.
ἐπιίστωρ|privy to
ἐπιαύω|to sleep among
ἐπιβάθρα|a ladder or steps
ἐπιβάλλω|to throw or cast upon
ἐπιβάσκω|to lead
ἐπιβάτης|one who mounts or embarks
ἐπιβήσσω|to cough after or besides
ἐπιβήτωρ|one who mounts
ἐπιβαίνω|to go upon
ἐπιβαστάζω|to weigh in the hand
ἐπιβατεύω|to set one foot upon
ἐπιβατός|that can be climbed, accessible
ἐπιβιβάζω|to put
ἐπιβιόω|to live over or after, survive
ἐπιβλέπω|to look upon, look attentively
ἐπιβλής|a bar fitting into
ἐπιβλύζω|to well or gush forth
ἐπιβοάω|to call upon or to, cry out to
ἐπιβοήθεια|a coming to aid, succour
ἐπιβοηθέω|to come to aid, to succour
ἐπιβολή|a throwing or laying on
ἐπιβομβέω|to roar in answer to or after
ἐπιβουκόλος|an over-herdsman
ἐπιβουλή|a plan against
ἐπιβουλευτής|one who plots against
ἐπιβουλεύω|to plan or contrive against
ἐπιβούλευμα|a plot, attempt, scheme
ἐπιβρέμω|to make to roar
ἐπιβρίθω|to fall heavy upon, fall heavily
ἐπιβριθής|falling heavy upon
ἐπιβροντάω|to thunder in response
ἐπιβρόντητος|frantic
ἐπιβρύκω|to gnash
ἐπιβρύω|to burst forth
ἐπιβωμιοστατέω|to stand suppliant at the altar
ἐπιβωστρέω|to shout to, call upon
ἐπιβόημα|a call or cry to
