Αἰάντειος,of Ajax
ἀσφαλτίζω,smell like asphalt
ἀσφαλτίτης,bituminous
ἀσφαλτοφόρος,producing bitumen
ἀσφαλτωδεύομαι,to be soaked in pitch
ἀσφαλτόω,smear with pitch
ἀσφαλτώδης,full of or like asphalt
ἀσφαλός,bird
ἀσφαλών,safe, cash-box
ἀσφοδέλινος,of asphodel
ἀσφοδελώδης,like asphodel
ἀσφράγιστος,not sealed
ἀσφυγμία,pulsus defectio
ἀσφυκτέω,to be without pulsation
ἀσφυξία,stopping of the pulse
ἀσφόδελος,asphodel, Asphodelus ramosus
ἀσφᾰγής,not to be sacrificed
ἀσφᾰκέλιστος,not gangrened or mortified
ἀσφᾰλίζω,fortify
ἀσφᾰρᾰγέω,resound, clang
ἀσφᾰρᾰγία,root-stock of asparagus
ἀσφᾰρᾰγωνία,wreath of asparagus
ἀσχέδωρος,wild boar
ἀσχήμων,misshapen, ugly
ἀσχίον,puff-ball, Lycoperdon giganteum
ἀσχημάτιστος,without form or figure
ἀσχημονέω,behave unseemly, disgrace oneself
ἀσχημοσύνη,want of form
ἀσχιστόπους,not having cloven hoofs
ἀσχολέω,engage, occupy
ἀσχολία,occupation, business, engagement
ἀσχολημᾰτικός,hard-working
ἀσχᾰδής,not to be restrained
ἀσχᾰλάω,to be distressed, grieved
ἀσχῐδής,uncloven, undivided
ἀσωμᾰτία,incorporeality
ἀσωμᾰτότης,incorporeality
ἀσωμᾰτόω,demetallize
ἀσωτία,prodigality, wastefulness
ἀσωτεύω,lead a profligate, spendthrift life
ἀσωτεῖον,abode of a prodigal
ἀσόλοικος,not barbarous
ἀσόφιστος,not deluded by fallacies
ἀσύγγνωστος,unpardonable
ἀσύγγρᾰφος,without bond
ἀσύγκλαστος,hard, pitiless
ἀσύγκλειστος,not enclosed
ἀσύγκλωστος,not interwoven, disconnected, disjointed
ἀσύγκρᾱτος,incapable of blending, discordant
ἀσύγκρῐτος,not comparable
ἀσύγκτητος,not capable of being acquired with other things
ἀσύγχριστος,unanointed
ἀσύγχῠτος,not confused
ἀσύγχῡμος,not turned into syrup
ἀσύζευκτος,not paired
ἀσύζῠγος,without exact correspondence
ἀσύλληπτος,not conceiving
ἀσύμβλητος,not addible
ἀσύμβολος,without contribution
ἀσύμβᾰμα,not a
ἀσύμβᾰτος,not coming to terms
ἀσύμμετρος,incommensurable
ἀσύμμικτος,incapable of blending
ἀσύμμᾰχος,without allies
ἀσύμπλεκτος,unconnected
ἀσύμπλοκος,unconnected, absolute
ἀσύμποτος,made of non-absorbent material
ἀσύμπτωτος,not falling in, full
ἀσύμφθαρτος,without blending
ἀσύμφορος,inconvenient, prejudicial
ἀσύμφωνος,not harmonious
ἀσύμφῠτος,not growing together or uniting
ἀσύμφῡλος,not akin, unlike
ἀσύνακτος,incompatible, incoherent, illogical
ἀσύναπτος,not joined
ἀσύναρθρος,without the article
ἀσύνδετος,unconnected, loose
ἀσύνετος,void of understanding, witless
ἀσύνθετος,uncompounded
ἀσύνθηκος,through breach of contract
ἀσύννευστος,non-convergent
ἀσύννοος,thoughtless
ἀσύνοπτος,not easily perceived
ἀσύντακτος,disorganized
ἀσύντονος,slack, lazy.
ἀσύντρητος,imperforate
ἀσύντριπτος,not easily rubbed or crushed
ἀσύντᾰτος,without exertion
ἀσύρρηκτος,not burst or rent
ἀσύστροφος,not forming a solid mass
ἀσύστᾰτος,not solidified
ἀσύφηλος,headstrong
ἀσώδης,attended with nausea
ἀσώμᾰτος,disembodied, incorporeal
ἀσᾰλής,unthinking, careless
ἀσᾰλᾰμίνιος,not having been at Salamis
ἀσᾰπής,not decayed
ἀσᾰρίτης,made from hazelwort
ἀσῐνής,unhurt, unharmed
ἀσῐνότης,innocence
ἀσῐώπητος,not to be left unspoken
ἀσῑγησία,inability to keep silence
ἀσῑτέω,abstain from food, fast
ἀσῑτία,want of food
ἀσῠρής,lewd, filthy
ἀσῡκοφάντητος,not plagued by informers
ἀσῡλία,inviolability
ἀσῡλαῖος,of an asylum
ἀσῡλεί,inviolably
ἀτά̆ρακτος,not disturbed, uniform
ἀτά̆ρᾰχος,eyesalve
ἀτάκτημα,disorderly or contumacious act, irregularity
ἀτάλαντος,equal in weight, equivalent to, like
ἀτάλλω,skip in childish glee, gambol
ἀτάομαι,suffer, be in distress
ἀτάρ,but, nevertheless
ἀτάρβακτος,unaffrighted
ἀτάρβητος,without fear
ἀτάρμυκτος,unblenching, unflinching
ἀτάρχῡτος,unburied
ἀτάσθᾰλος,reckless, presumptuous, wicked
ἀτέκμαρτος,without distinctive mark, obscure, baffling
ἀτέκμων,childless, barren
ἀτέκνωσις,barrenness
ἀτέλεια,incompleteness, imperfection
ἀτέλεστος,without end, issue, or effect, unaccomplished
ἀτέλευτος,endless, eternal
ἀτέμβω,maltreat
ἀτένισις,straining of the eyesight
ἀτέραμνος,unsoftened, hard
ἀτέρμων,without bound or end
ἀτέχναστος,artless
ἀτέχνως,without art, without rules of art, empirically
ἀτέω,demented, reckless
ἀτήρητος,unobserved, unnoticed
ἀτί̄μητος,unhonoured, despised
ἀτίετος,unhonoured
ἀτίζω,not to honour, not to heed
ἀτίθηνος,without a nurse
ἀτίμωσις,dishonouring
ἀτίνακτος,unshaken, immovable
ἀτίτης,unpunished
ἀτακτέω,to be undisciplined
ἀταξία,indiscipline
ἀταρβής,fearless
ἀταρβομάχας,fearing not the fray
ἀταρτάομαι,hurt
ἀταρτηρός,mischievous, baneful
ἀτασθάλλω,to be insolent
ἀτασθᾰλία,presumptuous sin, recklessness, wickedness
ἀταύρωτος,unwedded, maiden
ἀτείχιστος,unwalled, unfortified
ἀτειρής,not to be rubbed or worn away, indestructible
ἀτεκνέω,have no children
ἀτεκνία,childlessness, barrenness
ἀτεκνόω,make childless
ἀτελής,without end
ἀτελείωτος,unfinished, incomplete
ἀτελειότης,insufficiency
ἀτελεσιούργητος,not brought to an issue
ἀτελεσφόρητος,not brought to accomphishment
ἀτελεύτητος,not brought to an end or issue, unaccomplished
ἀτελώνητος,untaxed
ἀτενής,stretched, strained
ἀτενίζω,look intently, gaze earnestly
ἀτενισμός,intent observation
ἀτενιστός,that may be gazed at
ἀτεράμων,hard, tough
ἀτεράτευτος,nowise prodigious or wonderful
ἀτεραμνία,harshness, hardness
ἀτεραμνότης,stubbornness;
ἀτεραμνώδης,not to be softened
ἀτερηδόνιστος,not worm-eaten
ἀτερμάτιστος,unbounded
ἀτερπής,unpleasing, joyless
ἀτερψία,unpleasantness
ἀτευκτέω,fail in gaining
ἀτευξία,not obtaining, privation
ἀτευχής,unequipped, unarmed
ἀτεχνέω,to be
ἀτεχνία,want of art or skill
ἀτεχνίτευτος,artless, simple
ἀτημέλεια,carelessness
ἀτημέλητος,unheeded, unnoticed
ἀτημελέω,take no heed of, neglect
ἀτημελής,neglected
ἀτηρής,Aër.
ἀτηρία,mischief, evil
ἀτηρόγνωμος,durus
ἀτηρός,blinded by
ἀτλητέω,to be impatient, not to endure or submit to
ἀτμένιος,toilsome, prepared with trouble
ἀτμήν,slave, servant
ἀτμίζω,smoke
ἀτμίς,moist vapour, steam
ἀτμενία,slavery
ἀτμεύω,to be a slave
ἀτμιάω,steam, emit vapour
ἀτμιστός,capable of being turned into vapour
ἀτμός,steam, vapour
ἀτμῐδοῦχος,containing vapour, damp
ἀτμῐδόομαι,to be turned into vapour
ἀτμῐδώδης,vaporous
ἀτοκέω,not to bring forth, to be barren
ἀτοκία,unfruitfulness, barrenness
ἀτοκεῖον,contraceptive
ἀτολμέω,to be
ἀτολμία,want of daring, cowardice
ἀτομόω,leave undivided
ἀτονέω,to be relaxed, exhausted
ἀτονία,slackness, enervation, debility
ἀτονόω,weaken
ἀτοπία,being out of the way
ἀτοπηματοποιός,one who commits absurdities or offences
ἀτρά̆γῳδος,untragical, unsuitable to tragedy
ἀτράνωτος,unexplained, not understood
ἀτράπεζος,unsocial
ἀτράφαξυς,orach, Atriplex rosea
ἀτράχηλος,without neck
ἀτράχυντος,without asperity
ἀτρέκεια,precise truth, certainty
ἀτρέμᾰ,still!
ἀτρίακτος,unconquered
ἀτρίαστος,not admitting triplicity
ἀτρίβαστος,not worn
ἀτρίβων,unskilled in
ἀτρακίς,spinous plant
ἀτρακτοειδής,spindle-shaped
ἀτρακτώδης,like a spindle
ἀτρακτῠλίς,spindle-thistle
ἀτραυμάτιστος,not caused by a wound
ἀτρεής,not to be feared
ἀτρεκέω,to be sure
ἀτρεκής,strict, precise, exact
ἀτρεμέω,not to tremble, to keep still or quiet
ἀτρεμής,unmoved, calm
ἀτρεμία,keeping still
ἀτρεμίζω,keep quiet
ἀτρεμαιότης,calmness
ἀτριάκαστος,not belonging to a
ἀτριβής,not rubbed
ἀτριψία,inexperience, amateurishness
ἀτροπία,inflexibility
ἀτροφέω,have or get no food
ἀτροφία,want of food or nourishment
ἀτρωσία,invulnerability
ἀτρύγετος,unharvested, barren
ἀτρύμων,not worn out by
ἀτρύφερος,not delicate or luxurious
ἀτρᾰγῴδητος,not treated tragically
ἀτρᾰφής,wasting, atrophic
ἀτρᾱνής,not plainly
ἀτρῐχέω,not to be hairy
ἀτρῐχόσαρκος,smooth-skinned, not hairy
ἀτρῠγής,not gathered
ἀττάκης,locust
ἀττάρᾰγος,crumb, morsel of bread
ἀττέλᾰβος,locust
ἀτταβυγάς,bird
ἀττελεβόφθαλμος,with locust eyes
ἀττηγός,he-goat
ἀττᾰγεινός,fish
ἀττᾰγᾶς,francolin, Tetrao orientalis
ἀττῐκοπέρδιξ,Attic partridge
ἀτυζηλός,frightful
ἀτόκιος,causing barrenness
ἀτόλμητος,not to be endured, insufferable
ἀτόξευτος,out of bow-shot
ἀτόπαστος,not to be guessed
ἀτόπημα,absurdity
ἀτόρητος,not to be pierced, invulnerable
ἀτόρνευτος,not turned in the lathe, not rounded
ἀτόρῡ<νη>τος,not stirred wity a ladle
ἀτύ̆πωτος,unformed, shapeless
ἀτύ̆χημα,misfortune, miscarriage
ἀτύζομαι,to be distraught from fear, bewildered
ἀτύλωτος,made callous by labour, hardened
ἀτύμβευτος,without tomb
ἀτύρωτος,not curdled or coagulated
ἀτᾰλάφρων,tender-minded
ἀτᾰλαίπωρος,not painstaking
ἀτᾰλός,tender, delicate
ἀτᾰλόψῡχος,soft-hearted
ἀτᾰμίευτος,that cannot be stored
ἀτᾰπείνωτος,not humbled
ἀτᾰρίχευτος,not desiccated
ἀτᾰρακτέω,keep calm
ἀτᾰρακτοποιησία,acting with perfect composure
ἀτᾰραξία,impassiveness, calmness
ἀτᾰρᾰχώδης,not liable to be disturbed
ἀτᾰφία,want of burial
ἀτᾱβῠρίτης,loaf
ἀτᾱγία,absence of a
ἀτῐθάσευτος,untamable, wild
ἀτῐτάλλω,rear, tend
ἀτῐτάλτας,foster-father
ἀτῑμάζω,hold in no honour, esteem lightly
ἀτῑμάω,dishonour, disdain
ἀτῑμία,dishonour, disgrace
ἀτῑμαλφέω,fail to fetch a price
ἀτῑμασμός,dishonour
ἀτῑμαστέος,to be despised
ἀτῑμαστήρ,dishonourer
ἀτῑμαστός,dishonoured
ἀτῑμητέον,one must hold in disesteem
ἀτῑμητεί,without a valuation
ἀτῑμοπενθής,sorrowing for dishonour
ἀτῑμόω,dishonour
ἀτῑμώρητος,unavenged
ἀτῑμᾰγέλης,despising the herd
ἀτῑμᾰγελέω,forsake the herd, stray
ἀτῠράννευτος,not ruled by tyrants, free from tyrants
ἀτῠχέω,to be unfortunate, fail, miscarry
ἀτῠχής,unfortunate
ἀτῡφία,freedom from arrogance
ἀφά̆νεια,obscurity, uncertainty
ἀφά̆νῐσις,getting rid of
ἀφάβρωμα,woman's garment
ἀφάκη,tare, Vicia angustifolia
ἀφάλλομαι,spring off or down from
ἀφάνταστος,without
ἀφάπαξ,once for all
ἀφάπτω,fasten from or upon
ἀφάρκη,hybrid arbutus, Arbutus hybrida
ἀφάρμακος,without medicinal properties
ἀφάρμακτος,unanointed
ἀφάρτερος,more fleet
ἀφάσσω,feel
ἀφέγγεια,want of light
ἀφέδιτος,when no sacrifice is offered
ἀφέλεια,simplicity
ἀφέλκω,drag away
ἀφέλκωσις,abrasion of plant-stem
ἀφέλκῠσις,dragging away
ἀφέργω,keep off, withhold
ἀφέρπω,to creep off, steal away
ἀφέσιμος,released from payment
ἀφέστιος,far from hearth and home
ἀφέταιρος,friendless
ἀφέτης,teacher of ballistic
ἀφέψημα,decoction
ἀφέψω,purify or refine by boiling off
ἀφέψᾰλος,without a spark of fire
ἀφήγημα,tale, narrative
ἀφήγησις,narration
ἀφήκω,arrive at or have arrived
ἀφήτωρ,archer
ἀφία,lesser celandine, Ranunculus Ficaria
ἀφίδρωσις,sweating off
ἀφίδρῡμα,thing set up
ἀφίδρῡσις,Setting up
ἀφίημι,send forth, discharge
ἀφίκω,extend, reach
ἀφίλαυτος,not showing self-love
ἀφίλητος,unloved
ἀφίπτᾰμαι,fly away
ἀφίστημι,put away, remove, keep out of the way
ἀφαίμαξις,bleeding
ἀφαίρεμα,that which is taken away as the choice part
ἀφαίρεσις,taking away, carrying off, remoual
ἀφαγνίζω,purify, consecrate
ἀφαγνισμός,purification
ἀφαδρύνομαι,mature, ripen
ἀφαιμάσσω,draw blood
ἀφαιρέτης,one who deprives
ἀφαιρέτις,one that takes away
ἀφαιρέω,take away from
ἀφαιρετέον,one must take away
ἀφαιρετέω,pick off
ἀφαιρετικός,fit for taking away
ἀφαιρετός,to be taken away, separable
ἀφαιρηματικῶς,abstractly
ἀφαλμός,springing off
ἀφαμμᾰτίζω,fasten off
ἀφανδάνω,displease, not to please
ἀφαντικά,derelict lands
ἀφαντόω,make
ἀφαντᾰσίαστος,not manifested
ἀφαντᾰσίωτος,unable to imagine
ἀφαπτέον,one must fasten
